insee;nom;nb_voisins;insee_voisins
22103;Langrolay-sur-Rance;3;35181|22213|35228
22104;Languédias;6;22097|22342|22391|22348|22145|22180
22105;Languenan;7;22209|22190|22190|22339|22048|22049|22209
22106;Langueux;3;22389|22360|22278
22107;Bon Repos sur Blavet;11;22334|22244|22316|22033|56203|56209|56245|22124|22181|22064|22331
22107;Laniscat;7;22334|22244|22107|22107|22181|22064|22331
22108;Lanleff;5;22390|22178|22370|22057|22256
22109;Lanloup;3;22222|22178|22214
22110;Lanmérin;5;22042|22101|22257|22265|22381
22111;Lanmodez;3;22127|22199|22195
22112;Lannebert;6;22236|22177|22121|22065|22063|22370
22113;Lannion;10;22324|22134|22265|22030|22340|22211|22224|22343|22198|22168
22114;Lanrelas;5;22240|22371|22309|22053|22337
22115;Lanrivain;7;22139|22092|22321|22229|22365|22169|22088
22116;Lanrodec;7;22304|22206|22206|22011|22289|22322|22225
22117;Lantic;10;22232|22055|22055|22055|22251|22251|22356|22182|22361|22177
22118;Lanvallay;10;22385|22299|22035|22026|22280|22050|22050|22050|22339|22327
22119;Lanvellec;6;22207|22228|22227|22238|22350|22235
22121;Lanvollon;4;22177|22375|22065|22112
22122;Laurenan;8;22046|22333|22147|22062|22183|22183|22046|22046
22050;Léhon;5;22050|22118|22280|22364|22259
22124;Lescouët-Gouarec;6;22181|22107|22107|56245|56099|22146
22126;Le Leslay;5;22045|22059|22386|22291|22011
22127;Lézardrieux;3;22111|22196|22199
22128;Locarn;7;22328|22320|22087|22137|22344|22031|22052
22129;Loc-Envel;4;22005|22216|22131|22228
22131;Loguivy-Plougras;7;22228|22129|22216|22037|22132|22217|22227
22132;Lohuec;6;22131|22037|22024|22231|29012|22217
22133;Loscouët-sur-Meu;5;22240|35297|35117|22083|22371
22134;Louannec;6;22363|22090|22265|22113|22324|22168
22135;Louargat;8;22004|22164|22354|22072|22216|22005|22359|22245
22136;Loudéac;8;22155|22255|22275|22314|56215|22075|22279|22376
22137;Maël-Carhaix;6;22128|22087|22061|22163|22157|22344
22138;Maël-Pestivien;7;22249|22013|22088|22169|22320|22328|22023
22139;Magoar;5;22189|22092|22115|22088|22013
22140;La Malhoure;5;22193|22185|22165|22093|22093
22141;Mantallot;5;22264|22264|22254|22006|22101
22143;Matignon;3;22282|22323|22174
22144;La Méaugon;4;22215|22287|22188|22372
22145;Mégrit;8;22317|22180|22104|22348|22369|22337|22084|22084
22146;Mellionnec;8;22220|22181|22124|56099|56163|56170|22061|22266
22147;Merdrignac;8;22148|22309|22371|22083|56129|22062|22122|22333
22148;Mérillac;6;22053|22309|22147|22333|22046|22046
22149;Merléac;7;22001|22384|22330|22260|22295|22313|22009
22150;Le Merzer;5;22065|22019|22304|22272|22248
22093;Meslin;6;22093|22098|22015|22258|22246|22044
22152;Minihy-Tréguier;5;22221|22362|22101|22042|22028
22153;Moncontour;3;22346|22184|22079
22093;Morieux;4;22093|22002|22044|22081
22155;La Motte;12;22219|22219|22046|22046|22183|22183|22255|22136|22376|22068|22060|22219
22156;Moustéru;6;22223|22067|22040|22013|22072|22354
22157;Le Moustoir;6;22344|22137|22163|22202|29024|22351
22158;Guerlédan;8;22260|22279|22285|56093|56146|56203|22033|22295
22158;Mûr-de-Bretagne;7;22295|22158|22285|56093|56146|56203|22033
22160;Noyal;4;22326|22193|22093|22093
22161;Pabu;5;22248|22272|22070|22223|22358
22162;Paimpol;4;22210|22214|22086|22233
22163;Paule;5;22137|22061|56100|22202|22157
22164;Pédernec;5;22310|22223|22354|22135|22004
22165;Penguily;8;22185|22046|22046|22296|22332|22093|22093|22140
22166;Penvénan;4;22218|22221|22028|22379
22107;Perret;6;22107|22107|56209|56245|22124|22181
22168;Perros-Guirec;5;22134|22324|22113|22198|22353
22169;Peumerit-Quintin;5;22088|22115|22365|22320|22138
22170;Plaine-Haute;6;22215|22307|22171|22277|22059|22287
22171;Plaintel;7;22176|22281|22203|22203|22277|22170|22307
22172;Plancoët;5;22049|22048|22014|22237|22311
22093;Planguenoual;5;22186|22273|22093|22002|22093
22174;Pléboulle;6;22143|22323|22268|22076|22242|22179
22175;Plédéliac;11;22096|22200|22205|22084|22084|22193|22326|22093|22093|22261|22286
22176;Plédran;8;22389|22258|22079|22281|22171|22307|22215|22360
22177;Pléguien;8;22222|22232|22117|22361|22375|22121|22112|22236
22178;Pléhédel;7;22214|22109|22222|22236|22370|22108|22390
22179;Fréhel;3;22201|22174|22242
22180;Plélan-le-Petit;6;22318|22315|22097|22104|22145|22317
22181;Plélauff;8;22064|22107|22107|22107|22107|22124|22146|22220
22182;Plélo;13;22117|22356|22251|22251|22372|22188|22234|22206|22206|22206|22019|22375|22361
22183;Plémet;10;22046|22046|22122|22062|22043|22241|22183|22255|22155|22046
22183;Plémet;11;22046|22046|22122|22062|22043|22241|22039|22275|22255|22155|22046
22184;Plémy;10;22153|22346|22046|22046|22219|22219|22219|22203|22203|22079
22185;Plénée-Jugon;12;22341|22084|22084|22084|22337|22267|22046|22046|22046|22165|22140|22193
22186;Pléneuf-Val-André;4;22054|22273|22093|22093
22187;Plérin;5;22278|22215|22372|22251|22251
22188;Plerneuf;5;22372|22144|22287|22234|22182
22189;Plésidy;8;22322|22289|22335|22284|22092|22139|22013|22271
22190;Pleslin;7;22213|22339|22190|22209|22209|22368|35228
22190;Pleslin-Trigavou;7;35228|22368|22213|22339|22105|22209|22209
22046;Plessala;10;22346|22345|22046|22046|22183|22183|22155|22219|22219|22184
22209;Plessix-Balisson;1;22209
22193;Plestan;10;22326|22175|22084|22084|22341|22185|22140|22093|22093|22160
22194;Plestin-les-Grèves;5;22350|22238|22366|29182|29073
22195;Pleubian;3;22111|22199|22085
22196;Pleudaniel;5;22199|22127|22204|22264|22264
22197;Pleudihen-sur-Rance;7;35070|35179|35308|35308|22299|22385|35358
22198;Pleumeur-Bodou;5;22353|22168|22324|22113|22343
22199;Pleumeur-Gautier;8;22195|22111|22127|22196|22264|22264|22347|22085
22200;Pléven;4;22237|22205|22175|22096
22201;Plévenon;1;22179
22202;Plévin;6;22157|22163|56100|22373|29152|29024
22203;Plœuc-L'Hermitage;13;22281|22079|22184|22219|22219|22060|22300|22384|22001|22009|22099|22277|22171
22203;Plœuc-sur-Lié;7;22281|22079|22184|22219|22219|22060|22203
22204;Ploëzal;8;22196|22256|22250|22212|22269|22264|22264|22264
22205;Plorec-sur-Arguenon;6;22237|22014|22084|22084|22175|22200
22206;Châtelaudren-Plouagat;6;22182|22234|22011|22116|22304|22019
22206;Plouagat;7;22206|22182|22234|22011|22116|22304|22019
22207;Plouaret;6;22211|22387|22228|22119|22235|22226
22208;Plouasne;11;22263|22056|22306|35318|35156|35307|35171|22071|22069|22312|22352
22209;Beaussais-sur-Mer;10;35256|35228|22368|22190|22190|22190|22105|22049|22302|22094
22209;Ploubalay;11;35256|35228|22368|22190|22190|22190|22105|22209|22049|22209|22094
22210;Ploubazlanec;1;22162
22211;Ploubezre;7;22340|22245|22387|22207|22226|22224|22113
22212;Plouëc-du-Trieux;7;22204|22250|22283|22338|22095|22018|22269
22213;Plouër-sur-Rance;6;22327|22339|22190|22190|35228|22103
22214;Plouézec;6;22222|22109|22178|22390|22086|22162
22215;Ploufragan;9;22187|22278|22360|22176|22307|22170|22287|22144|22372
22216;Plougonver;9;22135|22072|22249|22023|22025|22037|22131|22129|22005
22217;Plougras;6;22227|22131|22132|29012|29014|29067
22218;Plougrescant;2;22221|22166
22219;Plouguenast;6;22184|22219|22155|22060|22203|22203
22219;Plouguenast-Langast;7;22184|22046|22046|22155|22060|22203|22203
22220;Plouguernével;7;22229|22331|22064|22181|22146|22266|22087
22221;Plouguiel;4;22218|22152|22028|22166
22222;Plouha;7;22377|22232|22177|22236|22178|22109|22214
22223;Plouisy;9;22358|22161|22070|22067|22156|22354|22164|22310|22091
22224;Ploulec'h;3;22113|22211|22226
22225;Ploumagoar;8;22272|22304|22116|22322|22271|22040|22067|22070
22226;Ploumilliau;6;22224|22211|22207|22235|22319|22349
22227;Plounérin;8;22119|22228|22131|22217|29067|29183|22366|22238
22228;Plounévez-Moëdec;8;22387|22359|22005|22129|22131|22227|22119|22207
22229;Plounévez-Quintin;6;22115|22321|22331|22220|22087|22365
22231;Plourac'h;5;22132|22024|22243|22031|29012
22232;Plourhan;7;22377|22325|22055|22055|22117|22177|22222
22233;Plourivo;4;22162|22086|22390|22256
22234;Plouvara;7;22188|22287|22045|22011|22206|22206|22182
22235;Plouzélambre;5;22226|22207|22119|22350|22319
22236;Pludual;5;22222|22177|22112|22370|22178
22237;Pluduno;7;22311|22172|22014|22205|22200|22096|22323
22238;Plufur;5;22350|22119|22227|22366|22194
22239;Plumaudan;7;22380|22308|22312|22069|22032|22391|22021
22240;Plumaugat;9;22032|22305|35234|35297|22133|22371|22114|22337|22020
22241;Plumieux;11;22183|22043|56257|56102|56102|22027|22288|56024|22039|22183|22183
22242;Plurien;5;22179|22174|22076|22012|22054
22243;Plusquellec;5;22024|22025|22052|22031|22231
22244;Plussulien;7;22047|22316|22107|22107|22107|22334|22029
22245;Pluzunet;8;22034|22254|22004|22135|22359|22387|22211|22340
22246;Pommeret;6;22044|22093|22093|22258|22389|22081
