insee;nom;nb_voisins;insee_voisins
29066;Guengat;5;29169|29232|29173|29065|29087
29067;Guerlesquin;4;22227|22217|29014|29183
29068;Guiclan;8;29279|29266|29266|29074|29097|29105|29210|29184
29069;Guilers;6;29011|29019|29212|29260|29076|29076
29070;Guiler-sur-Goyen;4;29224|29108|29215|29143
29071;Guilligomarc'h;6;56014|56166|29002|29136|29230|56131
29072;Guilvinec;3;29284|29158|29171
29073;Guimaëc;5;29133|22194|29182|29113|29251
29074;Guimiliau;6;29068|29266|29266|29266|29262|29097
29075;Guipavas;7;29095|29245|29056|29235|29019|29061|29160
29076;Guipronvel;4;29035|29076|29299|29196
29076;Milizac-Guipronvel;9;29035|29015|29011|29019|29069|29260|29119|29299|29196
29077;Guissény;5;29091|29198|29248|29093|29195
29078;Hanvec;7;29246|29277|29139|29302|29053|29080|29086
29079;Henvic;2;29023|29279
29080;Hôpital-Camfrout;3;29086|29078|29137
29081;Huelgoat;6;29227|29227|29211|29018|29054|29007
29085;Île-Tudy;1;29037
29086;Irvillac;7;29294|29246|29078|29080|29137|29043|29270
29087;Le Juch;6;29090|29169|29066|29065|29224|29046
29089;Kergloff;7;29227|29227|29205|29024|29029|29102|29211
29090;Kerlaz;5;29176|29134|29169|29087|29046
29091;Kerlouan;5;29021|29021|29021|29198|29077
29093;Kernilis;7;29248|29055|29100|29126|29209|29195|29077
29094;Kernouës;4;29198|29124|29055|29248
29095;Kersaint-Plabennec;6;29179|29268|29245|29075|29160|29047
29097;Lampaul-Guimiliau;6;29068|29074|29262|29131|29128|29105
29098;Lampaul-Plouarzel;1;29177
29099;Lampaul-Ploudalmézeau;3;29257|29196|29178
29100;Lanarvily;4;29055|29047|29126|29093
29101;Landéda;1;29117
29102;Landeleau;6;29089|29029|29278|29175|29036|29211
29103;Landerneau;7;29181|29156|29045|29056|29245|29268|29179
29104;Landévennec;2;29001|29280
29105;Landivisiau;6;29210|29068|29097|29128|29010|29193
29106;Landrévarzec;5;29020|29232|29169|29229|29025
29107;Landudal;4;29110|29049|29051|29020
29108;Landudec;6;29224|29065|29167|29225|29215|29070
29109;Landunvez;3;29178|29208|29221
29110;Langolen;6;29291|29041|29049|29107|29020|29048
29111;Lanhouarneau;6;29206|29271|29244|29204|29255|29198
29112;Lanildut;3;29208|29017|29221
29113;Lanmeur;6;29073|29182|29199|29199|29059|29251
29114;Lannéanou;5;29014|29275|29191|29199|29199
29115;Lannédern;5;29141|29175|29033|29162|29016
29116;Lanneuffret;3;29237|29181|29204
29117;Lannilis;4;29195|29209|29290|29101
29119;Lanrivoaré;7;29299|29076|29076|29260|29177|29017|29208
29120;Lanvéoc;1;29042
29122;Laz;7;29027|29249|29125|29041|29291|29048|29267
29123;Lennon;6;29033|29175|29027|29267|29062|29162
29124;Lesneven;5;29198|29255|29179|29055|29094
29125;Leuhan;6;29249|56199|29274|29281|29041|29122
29126;Loc-Brévalaire;5;29100|29047|29160|29209|29093
29266;Loc-Eguiner-Saint-Thégonnec;5;29266|29202|29038|29262|29074
29128;Loc-Eguiner;5;29105|29097|29131|29180|29010
29227;Locmaria-Berrien;5;29275|29227|29211|29081|29007
29130;Locmaria-Plouzané;3;29212|29190|29201
29131;Locmélar;5;29097|29262|29277|29180|29128
29132;Locquénolé;1;29279
29133;Locquirec;1;29073
29134;Locronan;4;29229|29169|29090|29176
29135;Loctudy;2;29165|29220
29136;Locunolé;4;29071|29002|29297|29230
29137;Logonna-Daoulas;3;29043|29086|29080
29139;Lopérec;7;29261|29016|29162|29263|29302|29078|29277
29140;Loperhet;2;29045|29189
29141;Loqueffret;5;29018|29211|29175|29115|29016
29142;Lothey;6;29162|29062|29020|29025|29243|29026
29143;Mahalon;7;29226|29224|29070|29215|29197|29218|29145
29144;La Martyre;6;29180|29294|29286|29270|29156|29237
29145;Confort-Meilars;4;29226|29143|29218|29008
29146;Melgven;5;29241|29217|29293|29039|29272
29147;Mellac;8;29230|29297|29233|29005|29236|29300|29004|29269
29148;Mespaul;5;29184|29210|29213|29301|29192
29076;Milizac;9;29035|29015|29011|29019|29069|29260|29119|29299|29076
29150;Moëlan-sur-Mer;4;29005|29233|29031|29236
29151;Morlaix;7;29186|29059|29199|29199|29191|29207|29254
29152;Motreff;4;22202|22373|29250|29024
29153;Névez;2;29217|29293
29156;Pencran;6;29237|29144|29270|29045|29103|29181
29158;Penmarc'h;2;29171|29072
29159;Peumerit;4;29167|29174|29298|29214
29160;Plabennec;7;29126|29047|29095|29075|29061|29015|29209
29161;Pleuven;6;29247|29058|29006|29032|29060|29232
29162;Pleyben;9;29016|29115|29033|29123|29062|29142|29026|29263|29139
29163;Pleyber-Christ;7;29254|29207|29034|29202|29266|29266|29265
29165;Plobannalec-Lesconil;4;29220|29135|29284|29171
29166;Ploéven;3;29025|29176|29172
29167;Plogastel-Saint-Germain;8;29173|29216|29174|29159|29214|29225|29108|29065
29168;Plogoff;2;29028|29228
29169;Plogonnec;7;29229|29106|29232|29066|29087|29090|29134
29170;Plomelin;3;29232|29037|29216
29171;Plomeur;7;29174|29220|29165|29284|29072|29158|29252
29172;Plomodiern;5;29044|29026|29025|29166|29256
29173;Plonéis;5;29066|29232|29216|29167|29065
29174;Plonéour-Lanvern;9;29167|29216|29296|29220|29171|29252|29292|29298|29159
29175;Plonévez-du-Faou;9;29211|29036|29102|29278|29027|29123|29033|29115|29141
29176;Plonévez-Porzay;5;29166|29025|29229|29134|29090
29177;Plouarzel;5;29017|29119|29260|29201|29098
29178;Ploudalmézeau;4;29099|29196|29208|29109
29179;Ploudaniel;11;29124|29288|29255|29204|29295|29181|29103|29268|29095|29047|29055
29180;Ploudiry;7;29010|29128|29131|29277|29294|29144|29237
29181;Plouédern;7;29204|29116|29237|29156|29103|29179|29295
29182;Plouégat-Guérand;6;22194|22366|29199|29199|29113|29073
29183;Plouégat-Moysan;7;22227|29067|29014|29199|29199|29199|22366
29184;Plouénan;6;29279|29068|29210|29148|29192|29259
29185;Plouescat;2;29030|29206
29186;Plouezoc'h;4;29188|29251|29059|29151
29187;Plougar;6;29213|29193|29010|29264|29244|29271
29188;Plougasnou;2;29251|29186
29189;Plougastel-Daoulas;1;29140
29190;Plougonvelin;4;29201|29130|29040|29282
29191;Plougonven;7;29199|29199|29114|29275|29034|29207|29151
29192;Plougoulm;7;29273|29259|29184|29148|29301|29285|29276
29193;Plougourvest;5;29210|29105|29010|29187|29213
29195;Plouguerneau;4;29077|29093|29209|29117
29196;Plouguin;9;29290|29035|29076|29076|29299|29208|29178|29099|29257
29197;Plouhinec;3;29143|29215|29218
29198;Plouider;12;29287|29206|29111|29255|29124|29094|29248|29077|29091|29021|29021|29064
29199;Plouigneau;10;29182|22366|29183|29199|29014|29114|29191|29151|29059|29113
29199;Plouigneau;9;29182|22366|29183|29014|29114|29191|29151|29059|29113
29201;Ploumoguer;7;29260|29212|29130|29190|29282|29040|29177
29202;Plounéour-Ménez;8;29163|29034|29007|29054|29038|29266|29266|29266
29021;Plounéour-Trez;4;29064|29198|29091|29021
29204;Plounéventer;9;29111|29244|29264|29237|29116|29181|29295|29179|29255
29205;Plounévézel;6;22031|22351|29024|29089|29227|29227
29206;Plounévez-Lochrist;6;29185|29030|29271|29111|29198|29287
29207;Plourin-lès-Morlaix;5;29191|29034|29163|29254|29151
29208;Plourin;8;29178|29196|29299|29119|29017|29112|29221|29109
29209;Plouvien;8;29093|29126|29160|29015|29035|29290|29117|29195
29210;Plouvorn;6;29184|29068|29105|29193|29213|29148
29211;Plouyé;10;29227|29227|29227|29089|29102|29036|29175|29141|29018|29081
29212;Plouzané;5;29069|29019|29130|29201|29260
29213;Plouzévédé;7;29301|29148|29210|29193|29187|29271|29285
29214;Plovan;4;29167|29159|29298|29225
29215;Plozévet;5;29070|29108|29225|29197|29143
29216;Pluguffan;7;29232|29170|29037|29296|29174|29167|29173
29217;Pont-Aven;6;29004|29236|29153|29293|29146|29241
29218;Pont-Croix;6;29145|29143|29197|29003|29003|29008
29199;Le Ponthou;3;29183|29014|29199
29220;Pont-l'Abbé;6;29037|29135|29165|29171|29174|29296
29221;Porspoder;3;29109|29208|29112
29222;Port-Launay;2;29263|29026
29224;Pouldergat;7;29087|29065|29108|29070|29143|29226|29046
29225;Pouldreuzic;4;29108|29167|29214|29215
29226;Poullan-sur-Mer;5;29046|29224|29143|29145|29008
29227;Poullaouen;6;22031|29205|29089|29211|29227|29275
29227;Poullaouen;7;22031|29205|29089|29211|29081|29007|29275
29228;Primelin;5;29063|29003|29003|29168|29028
29229;Quéménéven;5;29025|29106|29169|29134|29176
29230;Querrien;8;56105|56131|29071|29136|29297|29147|29269|56081
29232;Quimper;10;29106|29020|29051|29247|29161|29170|29216|29173|29066|29169
29233;Quimperlé;7;29297|29234|56078|29031|29150|29005|29147
29234;Rédené;5;29002|56179|56078|29233|29297
29235;Le Relecq-Kerhuon;1;29075
29236;Riec-sur-Bélon;6;29300|29147|29005|29150|29217|29004
29237;La Roche-Maurice;8;29264|29010|29180|29144|29156|29181|29116|29204
29238;Roscanvel;1;29042
29239;Roscoff;2;29259|29273
29240;Rosnoën;2;29053|29302
29241;Rosporden;7;29274|29004|29217|29146|29272|29049|29281
29243;Saint-Coulitz;3;29142|29025|29026
29244;Saint-Derrien;5;29271|29187|29264|29204|29111
29245;Saint-Divy;5;29268|29103|29056|29075|29095
29246;Saint-Eloy;4;29277|29078|29086|29294
29247;Saint-Évarzec;6;29051|29272|29057|29058|29161|29232
29248;Saint-Frégant;5;29198|29094|29055|29093|29077
29249;Saint-Goazec;5;29278|56199|29125|29122|29027
29250;Saint-Hernin;6;29024|29152|22373|56066|29278|29029
29251;Saint-Jean-du-Doigt;5;29073|29113|29059|29186|29188
29252;Saint-Jean-Trolimon;3;29174|29171|29292
29254;Saint-Martin-des-Champs;5;29151|29207|29163|29265|29279
29255;Saint-Méen;6;29111|29204|29179|29288|29124|29198
29256;Saint-Nic;4;29289|29044|29172|29001
29257;Saint-Pabu;2;29196|29099
29259;Saint-Pol-de-Léon;4;29239|29184|29192|29273
29260;Saint-Renan;7;29076|29076|29069|29212|29201|29177|29119
29261;Saint-Rivoal;4;29013|29016|29139|29277
29262;Saint-Sauveur;7;29074|29266|29266|29038|29277|29131|29097
29263;Saint-Ségal;5;29139|29162|29026|29222|29302
29264;Saint-Servais;5;29187|29010|29237|29204|29244
29265;Sainte-Sève;5;29254|29163|29266|29266|29279
29266;Saint-Thégonnec;7;29279|29265|29163|29202|29266|29074|29068
29266;Saint-Thégonnec Loc-Eguiner;8;29279|29265|29163|29202|29038|29262|29074|29068
29267;Saint-Thois;5;29123|29027|29122|29048|29062
29268;Saint-Thonan;4;29179|29103|29245|29095
29269;Saint-Thurien;5;29230|29147|29004|29274|56081
29270;Saint-Urbain;7;29156|29144|29286|29294|29086|29043|29045
29271;Saint-Vougay;7;29030|29285|29213|29187|29244|29111|29206
29272;Saint-Yvi;7;29049|29241|29146|29039|29057|29247|29051
29273;Santec;3;29239|29259|29192
29274;Scaër;7;56199|56081|29269|29004|29241|29281|29125
29275;Scrignac;10;29114|29014|29012|22031|29227|29227|29227|29007|29034|29191
29276;Sibiril;3;29192|29285|29030
29277;Sizun;10;29262|29038|29013|29261|29139|29078|29246|29294|29180|29131
29278;Spézet;8;29029|29250|56066|56199|29249|29027|29175|29102
29279;Taulé;9;29132|29254|29265|29266|29266|29068|29184|29079|29023
29280;Telgruc-sur-Mer;3;29104|29001|29042
29281;Tourch;5;29125|29274|29241|29049|29041
29282;Trébabu;3;29201|29190|29040
29284;Treffiagat;3;29165|29072|29171
29285;Tréflaouénan;6;29276|29192|29301|29213|29271|29030
29286;Tréflévénez;3;29144|29294|29270
29287;Tréflez;3;29206|29198|29064
29288;Trégarantec;2;29255|29179
29289;Trégarvan;3;29044|29256|29001
29290;Tréglonou;4;29117|29209|29035|29196
29291;Trégourez;4;29122|29041|29110|29048
29292;Tréguennec;3;29174|29252|29298
29293;Trégunc;4;29217|29153|29039|29146
29294;Le Tréhou;7;29180|29277|29246|29086|29270|29286|29144
29295;Trémaouézan;3;29204|29181|29179
29296;Tréméoc;4;29216|29037|29220|29174
29297;Tréméven;6;29136|29002|29234|29233|29147|29230
29298;Tréogat;4;29159|29174|29292|29214
29299;Tréouergat;6;29196|29076|29076|29076|29119|29208
29300;Le Trévoux;3;29147|29236|29004
29301;Trézilidé;4;29192|29148|29213|29285
29302;Pont-de-Buis-lès-Quimerch;5;29139|29263|29240|29053|29078
35001;Acigné;7;35152|35031|35327|35039|35207|35051|35334
35002;Amanlis;8;35069|35069|35220|35220|35136|35088|35204|35069
35003;Andouillé-Neuville;6;35326|35118|35251|35296|35007|35110
35004;Antrain;5;50443|35004|35004|35004|35329
35004;Val-Couesnon;15;50443|50487|50337|35191|35191|35257|35257|35292|35292|35075|35244|35242|35019|35354|35329
35005;Arbrissel;4;35235|35199|35239|35359
35006;Argentré-du-Plessis;8;35105|35183|35217|35042|35119|35272|35097|35109
35007;Aubigné;4;35110|35003|35296|35195
35008;Availles-sur-Seiche;6;35119|53088|35325|35235|35125|35200
35009;Baguer-Morvan;6;35095|35104|35029|35362|35224|35246
35010;Baguer-Pican;6;35259|35034|35104|35095|35186|35078
35292;Baillé;6;35257|35257|35257|35280|35336|35292
35012;Bain-de-Bretagne;9;35212|35030|35106|35316|35098|35202|35176|35176|35221
35013;Bains-sur-Oust;9;35328|35237|35294|35236|56232|56239|56061|56061|56044
35014;Bais;9;35338|35350|35097|35359|35165|35198|35220|35220|35161
35015;Balazé;7;35072|35185|35300|35360|35194|35330|35260
35016;Baulon;8;35037|35123|35149|35127|35057|35035|35169|35319
35017;La Baussaine;7;35337|35134|35050|35180|35156|35318|35346
35018;La Bazouge-du-Désert;5;53125|53181|53213|35142|35162
35019;Bazouges-la-Pérouse;10;35354|35004|35004|35004|35242|35309|35164|35205|35092|35339
35021;Beaucé;4;35138|35112|35324|35115
35022;Bécherel;2;35156|35180
35023;Bédée;12;35245|35227|35040|35188|35133|35203|35184|35184|35060|35060|35060|35135
35024;Betton;9;35079|35197|35315|35152|35334|35051|35238|35278|35173
35025;Billé;9;35137|35214|35192|35086|35282|35282|35282|35063|35243
35026;Bléruais;4;35295|35277|35290|35201
35027;Boisgervilly;6;35184|35184|35320|35133|35295|35302
35028;Boistrudan;5;35198|35165|35108|35220|35220
35029;Bonnemain;10;35104|35342|35159|35085|35172|35308|35308|35308|35362|35009
35030;La Bosse-de-Bretagne;6;35343|35140|35106|35012|35212|35322
35031;La Bouëxière;7;35101|35347|35166|35068|35327|35001|35152
35032;Bourgbarré;6;35352|35250|35088|35054|35208|35266
35033;Bourg-des-Comptes;6;35139|35090|35231|35221|35312|35126
35034;La Boussac;7;35248|35222|35339|35044|35104|35010|35259
35035;Bovel;6;35016|35057|35168|35168|35168|35169
35037;Bréal-sous-Montfort;5;35196|35123|35016|35319|35351
35038;Bréal-sous-Vitré;5;53247|53108|35217|35183|35105
35039;Brécé;3;35327|35207|35001
35040;Breteil;7;35227|35275|35065|35080|35331|35188|35023
35041;Brie;4;35136|35321|35054|35088
35042;Brielles;4;35217|53088|35119|35006
35044;Broualan;4;35034|35339|35092|35104
35045;Bruc-sur-Aff;6;35219|35285|35328|56033|56033|35311
35046;Les Brulais;4;35168|35168|35084|56075
35047;Bruz;7;35281|35066|35363|35139|35126|35123|35076
35168;Campel;3;35035|35168|35169
35049;Cancale;2;35299|35263
35050;Cardroc;4;35134|35058|35180|35017
35051;Cesson-Sévigné;7;35334|35001|35207|35099|35055|35238|35024
35052;Champeaux;6;35141|35194|35229|35283|35166|35347
35220;Chancé;5;35161|35014|35198|35220|35096
35054;Chanteloup;8;35032|35088|35041|35321|35218|35090|35139|35208
35055;Chantepie;5;35051|35099|35352|35206|35238
35056;La Chapelle-aux-Filtzméens;5;35085|35233|35265|35226|35172
35057;La Chapelle-Bouëxic;6;35127|35175|35168|35168|35035|35016
35058;La Chapelle-Chaussée;9;35258|35317|35276|35146|35144|35245|35180|35050|35134
35059;La Chapelle-des-Fougeretz;5;35173|35278|35189|35210|35177
35060;La Chapelle du Lou du Lac;5;35135|35023|35184|35184|35143
35060;La Chapelle-du-Lou;6;35135|35023|35060|35184|35184|35143
35061;La Chapelle-Erbrée;4;53040|53247|35105|35300
35062;La Chapelle-Janson;6;53126|53177|35163|35163|35324|35112
35063;La Chapelle-Saint-Aubert;7;35310|35243|35025|35282|35282|35282|35282
35064;La Chapelle-de-Brain;4;35145|44092|44007|35237
35065;La Chapelle-Thouarault;5;35275|35131|35196|35080|35040
35066;Chartres-de-Bretagne;4;35206|35363|35047|35281
35067;Chasné-sur-Illet;5;35107|35152|35315|35197|35251
35068;Châteaubourg;6;35166|35283|35264|35096|35327|35031
35069;Châteaugiron;6;35069|35069|35002|35204|35099|35207
35069;Châteaugiron;7;35096|35220|35220|35002|35204|35099|35207
35070;Châteauneuf-d'Ille-et-Vilaine;4;35179|22197|35358|35306
35071;Le Châtellier;6;35357|35215|35273|35191|35191|35230
35072;Châtillon-en-Vendelais;8;35163|35163|35232|35185|35015|35260|35192|35214
35075;Chauvigné;8;35292|35292|35336|35261|35355|35244|35004|35004
35076;Chavagne;5;35240|35281|35047|35123|35196
35077;Chelun;4;35235|53192|35103|35114
35078;Cherrueix;3;35259|35010|35186
35079;Chevaigné;5;35251|35197|35024|35173|35274
35080;Cintré;4;35065|35196|35331|35040
35081;Clayes;3;35216|35275|35227
35082;Coësmes;6;35239|35167|35335|35089|35262|35333
35191;Coglès;12;50100|35111|35191|35191|35257|35257|35004|35004|35004|50337|50018|50487
35084;Comblessac;7;35046|35168|35168|56033|56033|56033|56075
35085;Combourg;10;35159|35342|35092|35286|35148|35094|35233|35056|35172|35029
35086;Combourtillé;5;35025|35192|35170|35282|35282
35087;Cornillé;5;35252|35338|35161|35264|35283
35088;Corps-Nuds;7;35204|35002|35136|35041|35054|35032|35250
35089;La Couyère;6;35136|35262|35082|35335|35140|35343
35090;Crevin;6;35054|35218|35212|35231|35033|35139
35091;Le Crouais;5;35234|35184|35184|35302|35297
35092;Cuguen;8;35339|35019|35205|35286|35085|35342|35104|35044
35093;Dinard;3;35241|35228|35287
35094;Dingé;10;35148|35286|35164|35110|35195|35128|35130|35337|35233|35085
35095;Dol-de-Bretagne;5;35010|35104|35009|35246|35186
35096;Domagné;11;35068|35264|35161|35220|35220|35220|35069|35069|35069|35207|35327
35097;Domalain;8;35109|35006|35272|35200|35125|35359|35014|35350
35098;La Dominelais;6;35316|44197|44105|35124|35202|35012
35099;Domloup;7;35207|35069|35069|35204|35352|35055|35051
35163;Dompierre-du-Chemin;4;35163|35232|35072|35214
35101;Dourdain;4;35154|35347|35031|35152
35102;Drouges;3;35235|35239|35199
35103;Eancé;7;35077|53192|53259|49248|49248|35167|35114
35104;Epiniac;8;35010|35034|35044|35092|35342|35029|35009|35095
35105;Erbrée;9;35300|35061|53040|53247|35038|35183|35006|35109|35360
35106;Ercé-en-Lamée;8;35343|35140|35335|35332|44148|35316|35012|35030
35107;Ercé-près-Liffré;6;35253|35121|35152|35067|35251|35118
35108;Essé;6;35220|35220|35028|35165|35333|35136
35109;Étrelles;8;35360|35105|35006|35097|35350|35338|35252|35229
35110;Feins;6;35164|35326|35003|35007|35195|35094
35111;Le Ferré;9;50347|35271|35230|35191|35191|35191|50100|50487|50487
35112;Fleurigné;6;35157|53126|35062|35324|35021|35138
35004;La Fontenelle;5;35004|35004|35019|35354|35329
35114;Forges-la-Forêt;5;35235|35077|35103|35167|35239
35115;Fougères;5;35138|35021|35324|35137|35150
35116;La Fresnais;7;35132|35186|35246|35153|35279|35122|35255
35117;Gaël;8;35297|35302|35201|56043|56225|56127|22083|22133
35118;Gahard;7;35355|35178|35253|35107|35251|35003|35326
35119;Gennes-sur-Seiche;6;35042|53088|35008|35200|35272|35006
35120;Gévezé;8;35356|35177|35210|35275|35216|35245|35144|35146
35121;Gosné;3;35253|35152|35107
35122;La Gouesnière;5;35255|35116|35279|35306|35299
35123;Goven;7;35076|35047|35126|35149|35016|35037|35196
35124;Grand-Fougeray;6;35098|44105|44051|44123|35249|35202
35125;La Guerche-de-Bretagne;5;35097|35200|35008|35235|35359
35126;Guichen;7;35047|35139|35033|35312|35127|35149|35123
35127;Guignen;12;35126|35312|35289|35176|35176|35155|35175|35168|35168|35057|35016|35149
35128;Guipel;5;35094|35195|35296|35356|35130
35176;Guipry;8;35289|35176|35145|35268|35219|35151|35155|35127
35130;Hédé-Bazouges;5;35094|35128|35356|35317|35337
35131;L'Hermitage;5;35210|35240|35196|35065|35275
35132;Hirel;4;35361|35186|35116|35255
35133;Iffendic;15;35203|35023|35188|35331|35187|35305|35211|35290|35277|35295|35302|35027|35184|35184|35320
35134;Les Iffs;5;35337|35258|35058|35050|35017
35135;Irodouër;7;35180|35245|35023|35060|35060|35143|35307
35136;Janzé;11;35002|35220|35220|35108|35333|35262|35089|35343|35321|35041|35088
35137;Javené;8;35115|35324|35163|35163|35214|35025|35243|35150
35138;Laignelet;6;35142|35157|35112|35021|35115|35150
35139;Laillé;7;35363|35208|35054|35090|35033|35126|35047
35140;Lalleu;5;35089|35335|35106|35030|35343
35141;Landavran;4;35330|35194|35052|35347
35142;Landéan;7;35162|35018|53213|35157|35138|35150|35215
35143;Landujan;7;35307|35135|35060|35060|35184|35184|35171
35144;Langan;4;35146|35120|35245|35058
35145;Langon;11;35176|35176|35176|35249|44123|44067|44092|35064|35237|35285|35268
35146;Langouet;6;35317|35356|35120|35144|35058|35276
35308;Lanhélin;3;35029|35172|35308
35148;Lanrigan;3;35286|35094|35085
35149;Lassy;4;35123|35126|35127|35016
35150;Lécousse;7;35215|35142|35138|35115|35137|35243|35273
35151;Lieuron;6;35155|35176|35176|35219|35168|35168
35152;Liffré;11;35121|35253|35154|35101|35031|35001|35334|35024|35315|35067|35107
35153;Lillemer;4;35116|35246|35224|35279
35154;Livré-sur-Changeon;7;35282|35282|35170|35347|35101|35152|35253
35155;Lohéac;6;35127|35176|35176|35151|35168|35168
35156;Longaulnay;6;35318|35017|35180|35022|35307|22208
35157;Le Loroux;5;53213|53126|35112|35138|35142
35060;Le Lou-du-Lac;4;35060|35023|35184|35184
35159;Lourmais;3;35342|35085|35029
35160;Loutehel;5;35169|35168|35168|56075|35223
35161;Louvigné-de-Bais;7;35087|35338|35014|35220|35220|35096|35264
35162;Louvigné-du-Désert;9;50274|53125|35018|35142|35215|35357|35174|35190|50452
35163;Luitré;9;35062|53177|53245|53123|35232|35163|35214|35137|35324
35163;Luitré-Dompierre;9;35062|53177|53245|53123|35232|35072|35214|35137|35324
35164;Marcillé-Raoul;7;35019|35309|35326|35110|35094|35286|35205
35165;Marcillé-Robert;7;35014|35359|35239|35333|35108|35028|35198
35166;Marpiré;5;35347|35052|35283|35068|35031
35167;Martigné-Ferchaud;10;35114|35103|49248|49248|44218|44112|44058|35335|35082|35239
35168;Maure-de-Bretagne;16;35035|35057|35127|35175|35155|35151|35219|35311|56033|56033|35084|35046|56075|35160|35168|35169
35168;Val d'Anast;15;35035|35057|35127|35175|35155|35151|35219|35311|56033|56033|35084|35046|56075|35160|35169
35169;Maxent;9;35340|35319|35016|35035|35168|35168|35168|35160|35223
35170;Mecé;7;35086|35192|35260|35347|35154|35282|35282
35171;Médréac;9;22208|35307|35143|35184|35184|35184|35234|22036|22071
35172;Meillac;7;35029|35085|35056|35226|35308|35308|35308
35173;Melesse;8;35296|35274|35079|35024|35278|35059|35177|35193
35174;Mellé;4;35190|35162|35357|35271
35175;Mernel;4;35057|35127|35168|35168
35176;Guipry-Messac;11;35289|35221|35012|35202|35249|35145|35268|35219|35151|35155|35127
35176;Messac;7;35221|35012|35202|35249|35145|35176|35289
35177;La Mézière;6;35193|35173|35059|35210|35120|35356
35178;Mézières-sur-Couesnon;7;35304|35282|35282|35282|35253|35118|35355
35179;Miniac-Morvan;10;35279|35224|35362|35308|35308|35308|22197|35358|35070|35306
35180;Miniac-sous-Bécherel;8;35017|35050|35058|35245|35135|35307|35022|35156
35181;Le Minihic-sur-Rance;2;22103|35228
35183;Mondevert;4;35038|35217|35006|35105
35184;Montauban-de-Bretagne;13;35184|35171|35143|35060|35060|35060|35023|35320|35133|35027|35302|35091|35234
35184;Montauban-de-Bretagne;12;35171|35143|35060|35060|35060|35023|35320|35133|35027|35302|35091|35234
35185;Montautour;5;35232|53086|35300|35015|35072
35186;Mont-Dol;7;35078|35010|35095|35246|35116|35132|35361
35187;Monterfil;6;35331|35351|35319|35340|35305|35133
35188;Montfort-sur-Meu;4;35023|35040|35331|35133
35189;Montgermont;4;35278|35238|35210|35059
35190;Monthault;6;50484|50452|35162|35174|35271|50515
35191;Les Portes du Coglais;14;35111|35230|35071|35273|35257|35257|35257|35004|35004|35004|50337|50018|50487|50100
35191;Montours;8;35111|35230|35071|35273|35257|35257|35191|35191
35192;Montreuil-des-Landes;6;35214|35072|35260|35170|35086|35025
35193;Montreuil-le-Gast;4;35296|35173|35177|35356
35194;Montreuil-sous-Pérouse;6;35330|35015|35360|35229|35052|35141
35195;Montreuil-sur-Ille;5;35110|35007|35296|35128|35094
35196;Mordelles;9;35131|35240|35076|35123|35037|35351|35331|35080|35065
35197;Mouazé;5;35251|35067|35315|35024|35079
35198;Moulins;6;35014|35165|35028|35220|35220|35220
35199;Moussé;4;35235|35102|35239|35005
35200;Moutiers;5;35272|35119|35008|35125|35097
35201;Muel;7;35302|35295|35026|35290|35211|56043|35117
35202;La Noë-Blanche;6;35012|35098|35124|35249|35176|35176
35203;La Nouaye;2;35023|35133
35204;Nouvoitou;7;35099|35069|35069|35002|35088|35250|35352
35205;Noyal-sous-Bazouges;4;35019|35164|35286|35092
35206;Noyal-Châtillon-sur-Seiche;7;35055|35352|35266|35363|35066|35281|35238
35207;Noyal-sur-Vilaine;9;35039|35327|35096|35069|35069|35069|35099|35051|35001
35208;Orgères;5;35266|35032|35054|35139|35363
35069;Ossé;4;35096|35069|35069|35207
35210;Pacé;9;35177|35059|35189|35238|35353|35240|35131|35275|35120
35211;Paimpont;11;35201|35290|35133|35305|35223|56012|56032|56256|56145|56127|56043
35212;Pancé;7;35218|35322|35030|35012|35221|35231|35090
35214;Parcé;7;35163|35163|35163|35072|35192|35025|35137
35215;Parigné;6;35162|35142|35150|35273|35071|35357
35216;Parthenay-de-Bretagne;5;35120|35275|35081|35227|35245
35217;Le Pertre;9;53108|53209|53026|53151|53088|35042|35006|35183|35038
35218;Le Petit-Fougeray;5;35321|35322|35212|35090|35054
35219;Pipriac;9;35151|35176|35176|35268|35285|35045|35311|35168|35168
35220;Piré-Chancé;10;35096|35161|35014|35198|35028|35108|35136|35002|35069|35069
35220;Piré-sur-Seiche;9;35096|35220|35198|35028|35108|35136|35002|35069|35069
35221;Pléchâtel;8;35033|35231|35212|35012|35176|35176|35289|35312
35222;Pleine-Fougères;8;35270|50410|50410|35329|35354|35339|35034|35248
35223;Plélan-le-Grand;8;35305|35340|35169|35160|56075|56226|56012|35211
35224;Plerguer;6;35246|35009|35362|35179|35279|35153
35225;Plesder;7;35308|35308|35226|35345|22056|22035|22299
35226;Pleugueneuc;7;35308|35172|35056|35265|35345|35225|35308
35227;Pleumeleuc;6;35245|35216|35081|35275|35040|35023
35228;Pleurtuit;12;35241|35181|22103|22213|22190|22368|22190|22209|22209|35256|35287|35093
35229;Pocé-les-Bois;6;35194|35360|35109|35252|35283|35052
35230;Poilley;6;35271|35357|35071|35191|35191|35111
35231;Poligné;4;35090|35212|35221|35033
35232;Princé;7;53123|53086|35185|35072|35163|35163|35163
35233;Québriac;5;35085|35094|35337|35265|35056
35234;Quédillac;8;22036|35171|35184|35184|35091|35297|22240|22305
