INSEE_COM;Annee;NbMaisonsVendues;NbAppartsVendus;PrixMoyen;Prixm2Moyen;SurfaceMoy
22001;2018;3;0;80966.6666666667;650.333333333333;123.333333333333
22001;2019;8;0;62237.5;733.375;81.875
22001;2020;7;0;148857.142857143;1378.14285714286;113.428571428571
22001;2021;4;0;112343;1082.5;104
22002;2018;15;0;162488;1856.6;96.5333333333333
22002;2019;11;0;176804.545454545;1611.63636363636;109.181818181818
22002;2020;11;0;156954.090909091;1623;105.454545454545
22002;2021;18;0;246855;2103.88888888889;122
22003;2018;10;0;203500;1742;115.2
22003;2019;11;0;157089.454545455;1757.27272727273;88.4545454545455
22003;2020;8;0;156535.75;1449;110.75
22003;2021;13;0;226519.230769231;2033.15384615385;114.230769230769
22004;2018;70;1;105038.366197183;1185.46478873239;92.8028169014084
22004;2019;71;0;105919.154929577;1312.3661971831;84
22004;2020;81;3;122745.833333333;1301.13095238095;93.5952380952381
22004;2021;102;6;129208.222222222;1399.10185185185;96.4444444444444
22005;2018;20;0;88159;840.25;100.5
22005;2019;15;0;80994.8;968.2;86.4666666666667
22005;2020;19;1;91775;1081.2;93.3
22005;2021;29;0;91662.0689655172;1038.55172413793;90.3793103448276
22006;2018;4;0;103625;960.25;106.75
22006;2019;3;0;78166.6666666667;864.666666666667;84
22006;2020;4;0;119500;1305.25;92.25
22006;2021;8;0;121798.75;1160.375;103.625
22008;2018;11;0;197006.363636364;1630.27272727273;118.090909090909
22008;2019;18;0;214640;1890.27777777778;111.111111111111
22008;2020;14;0;187848.928571429;1956.14285714286;98.8571428571429
22008;2021;22;1;176620.652173913;1744;97.695652173913
22009;2018;3;0;60000;743.333333333333;87.3333333333333
22009;2019;4;0;101250;1096.75;88.75
22009;2020;4;0;106887.5;1185;87
22009;2021;5;0;66550;890.6;69
22011;2018;7;0;163657.142857143;1212.71428571429;120
22011;2019;17;0;124952.941176471;1307.29411764706;95.4117647058823
22011;2020;9;0;129722.222222222;1219.66666666667;100.666666666667
22011;2021;14;0;175066.214285714;1549.14285714286;118.071428571429
22012;2018;13;0;167456.153846154;1646.76923076923;105.538461538462
22012;2019;9;0;136450;1198;116.222222222222
22012;2020;13;0;135653.846153846;1420.46153846154;104.384615384615
22012;2021;9;0;189222.222222222;1980.77777777778;97.7777777777778
22013;2018;22;0;81585.3181818182;866.454545454545;93.1818181818182
22013;2019;19;1;102757.85;1176.3;89.75
22013;2020;32;1;90528.1818181818;1137.48484848485;84.4545454545455
22013;2021;40;3;103094.395348837;1196.39534883721;86.9069767441861
22014;2018;17;0;138470.588235294;1323.05882352941;106.941176470588
22014;2019;15;0;138981.666666667;1317.46666666667;106.533333333333
22014;2020;15;0;144700;1411.53333333333;111.2
22014;2021;17;0;180264.705882353;1598.88235294118;117
22015;2018;12;0;175233.333333333;1714;102.833333333333
22015;2019;16;0;147278.75;1404.125;108.1875
22015;2020;23;0;145080.695652174;1451.17391304348;102.347826086957
22015;2021;28;0;142967.071428571;1510.67857142857;95.6071428571429
22016;2018;7;1;288075;4014.75;75.375
22016;2019;11;1;488949.583333333;4356.33333333333;103.416666666667
22016;2020;11;1;398468.666666667;3411.66666666667;119.25
22016;2021;14;1;502136;5424.33333333333;96.9333333333333
22018;2018;11;0;101704.727272727;1106.36363636364;97.0909090909091
22018;2019;8;0;140943.75;1405.125;100.875
22018;2020;4;0;116873.75;1183.25;97.75
22018;2021;9;0;110761.111111111;1387.77777777778;83.4444444444444
22019;2018;7;0;150355.857142857;1078.71428571429;132.285714285714
22019;2019;6;0;136303.333333333;1180.33333333333;107.666666666667
22019;2020;7;0;151042.857142857;1436.57142857143;106.857142857143
22019;2021;9;0;172217.222222222;1253.22222222222;135.444444444444
22020;2018;21;1;96101.7272727273;1143.22727272727;90.4090909090909
22020;2019;36;3;111129.487179487;1251.02564102564;96.0769230769231
22020;2020;39;1;124742.75;1152.9;112.075
22020;2021;36;1;117152.702702703;1177.21621621622;99.4594594594595
22021;2018;16;0;125948.125;1423;88.3125
22021;2019;18;0;141333.333333333;1497.77777777778;96.1111111111111
22021;2020;27;0;153242.592592593;1586.14814814815;98.2592592592593
22021;2021;22;0;165169.818181818;1583.45454545455;106.045454545455
22023;2018;12;0;54542.5;578.75;95.4166666666667
22023;2019;14;0;99250;1130.92857142857;85.9285714285714
22023;2020;11;0;58054.5454545455;843.181818181818;71.8181818181818
