codeGare;nomGare;fret;voyageurs;nom commune;departement;code commune
87471060;L'HERMITAGE-MORDELLES;O;O;L'HERMITAGE;ILLE-ET-VILAINE;35131
87471334;JANZE;O;O;JANZE;ILLE-ET-VILAINE;35136
87471201;FOUGERAY-LANGON;N;O;LANGON;ILLE-ET-VILAINE;35145
87471367;MARTIGNE-FERCHAUD;N;O;MARTIGNE-FERCHAUD;ILLE-ET-VILAINE;35167
87478016;ST-GERMAIN-SUR-ILLE;N;O;MELESSE;ILLE-ET-VILAINE;35173
87478131;MINIAC;N;O;MINIAC-MORVAN;ILLE-ET-VILAINE;35179
87471086;MONTAUBAN-DE-BRETAGNE;O;O;MONTAUBAN-DE-BRETAGNE;ILLE-ET-VILAINE;35184
87471094;LA BROHINIERE;O;O;MONTAUBAN-DE-BRETAGNE;ILLE-ET-VILAINE;35184
87471078;MONTFORT-SUR-MEU;N;O;MONTFORT-SUR-MEU;ILLE-ET-VILAINE;35188
87471664;GERARD;O;N;MONTREUIL-SOUS-PEROUSE;ILLE-ET-VILAINE;35194
87478032;MONTREUIL-SUR-ILLE;N;O;MONTREUIL-SUR-ILLE;ILLE-ET-VILAINE;35195
87471540;NOYAL-ACIGNE;N;O;NOYAL-SUR-VILAINE;ILLE-ET-VILAINE;35207
87471177;PLECHATEL;N;O;PLECHATEL;ILLE-ET-VILAINE;35221
87478255;PLEINE-FOUGERES;O;N;PLEINE-FOUGERES;ILLE-ET-VILAINE;35222
87478123;PLERGUER;N;O;PLERGUER;ILLE-ET-VILAINE;35224
87473058;QUEDILLAC;N;O;QUEDILLAC;ILLE-ET-VILAINE;35234
87471300;REDON;O;O;REDON;ILLE-ET-VILAINE;35236
87334508;LA POTERIE;N;O;RENNES;ILLE-ET-VILAINE;35238
87471391;PONTCHAILLOU;N;O;RENNES;ILLE-ET-VILAINE;35238
87471003;RENNES;O;O;RENNES;ILLE-ET-VILAINE;35238
87471359;RETIERS;O;O;RETIERS;ILLE-ET-VILAINE;35239
87471318;ST-ARMEL;N;O;SAINT-ARMEL;ILLE-ET-VILAINE;35250
